"STATE_NAME","GEOID","event_type","year_numerical","total_event_days","average_impacted_area_hectare","sd_impacted_area_hectare"
"Alabama",1033,"Extreme Heat Event",2011,6,18066.7,14063.5
"Alabama",1033,"Extreme Heat Event",2019,5,5080,4020.8
"Alabama",1033,"Extreme Heat Event",2020,4,6025,3690.9
"Alabama",1033,"Extreme Heat Event",2021,3,1966.7,1914
"Alabama",1033,"Extreme Heat Event",2022,9,6755.6,4159.4
"Alabama",1035,"Extreme Cold Event",2009,3,302480,3141.7
"Alabama",1035,"Extreme Cold Event",2010,11,250284.5,101647.3
"Alabama",1035,"Extreme Cold Event",2011,1,304293.9,NA
"Alabama",1035,"Extreme Cold Event",2014,3,304293.9,0
"Alabama",1035,"Extreme Cold Event",2015,3,252968.2,88898.8
"Alabama",1035,"Extreme Cold Event",2017,2,281899.2,31671
"Alabama",1035,"Extreme Cold Event",2018,7,297895.4,16928.8
"Alabama",1035,"Extreme Cold Event",2020,1,304293.9,NA
"Alabama",1035,"Extreme Cold Event",2022,3,304293.9,0
"Alabama",1035,"Extreme Heat Event",2009,1,10000,NA
"Alabama",1035,"Extreme Heat Event",2010,3,73649.4,34678.6
"Alabama",1035,"Extreme Heat Event",2011,6,145289.9,95898.6
"Alabama",1035,"Extreme Heat Event",2014,1,30600,NA
"Alabama",1035,"Extreme Heat Event",2015,3,26233.3,20942.1
"Alabama",1035,"Extreme Heat Event",2019,4,61952.1,48747.9
"Alabama",1035,"Extreme Heat Event",2021,5,75860.8,52747.1
"Alabama",1037,"Extreme Cold Event",2009,4,161880.5,101496.1
"Alabama",1037,"Extreme Cold Event",2010,9,234499.5,28233.2
"Alabama",1037,"Extreme Cold Event",2014,6,207515,93598.1
"Alabama",1037,"Extreme Cold Event",2015,4,194476.2,102500.2
"Alabama",1037,"Extreme Cold Event",2017,3,190066.8,94264.8
"Alabama",1037,"Extreme Cold Event",2018,8,220101.2,72478.6
"Alabama",1037,"Extreme Cold Event",2020,1,245726.3,NA
"Alabama",1037,"Extreme Cold Event",2022,3,245726.3,0
"Alabama",1037,"Extreme Heat Event",2008,2,9416.5,11621.7
"Alabama",1037,"Extreme Heat Event",2010,2,9834.8,12912.3
"Alabama",1037,"Extreme Heat Event",2011,7,47801.9,26430.5
"Alabama",1037,"Extreme Heat Event",2016,20,27475.9,26142.2
"Alabama",1037,"Extreme Heat Event",2017,1,3134.4,NA
"Alabama",1037,"Extreme Heat Event",2019,2,41058.1,7111.3
"Alabama",1037,"Extreme Heat Event",2021,2,7142.6,8002.5
"Alabama",1037,"Extreme Heat Event",2022,5,43833.7,61319
"Alabama",1039,"Extreme Cold Event",2008,1,94969.7,NA
"Alabama",1039,"Extreme Cold Event",2009,5,260609.1,151207.4
"Alabama",1039,"Extreme Cold Event",2010,11,317504.3,101048.6
"Alabama",1039,"Extreme Cold Event",2011,1,303357.8,NA
"Alabama",1039,"Extreme Cold Event",2013,4,17551.3,0
"Alabama",1039,"Extreme Cold Event",2014,4,278919,184232.8
"Alabama",1039,"Extreme Cold Event",2015,3,310408.5,105008.9
"Alabama",1039,"Extreme Cold Event",2016,1,189154.7,NA
"Alabama",1039,"Extreme Cold Event",2017,2,248720.1,172980
"Alabama",1039,"Extreme Cold Event",2018,7,332031.6,70240.4
"Alabama",1039,"Extreme Cold Event",2020,3,249781.6,105008.9
"Alabama",1039,"Extreme Cold Event",2022,3,371035.4,0
"Alabama",1039,"Extreme Heat Event",2009,9,55858.1,37488.5
"Alabama",1039,"Extreme Heat Event",2010,11,43149.4,21849.9
"Alabama",1039,"Extreme Heat Event",2011,5,204390.6,132995.9
"Alabama",1039,"Extreme Heat Event",2014,1,10700,NA
"Alabama",1039,"Extreme Heat Event",2015,4,18975,12977.3
"Alabama",1039,"Extreme Heat Event",2019,3,143503.6,181892.7
"Alabama",1039,"Extreme Heat Event",2020,1,51000,NA
"Alabama",1039,"Extreme Heat Event",2021,3,114768.5,69253.3
"Alabama",1039,"Extreme Heat Event",2022,2,50950,28496.4
"Alabama",1041,"Extreme Cold Event",2008,1,15589.7,NA
"Alabama",1041,"Extreme Cold Event",2009,5,137867,111623.4
"Alabama",1041,"Extreme Cold Event",2010,9,184448.7,72958.8
"Alabama",1041,"Extreme Cold Event",2011,1,12807.6,NA
"Alabama",1041,"Extreme Cold Event",2014,4,218614.2,1542
"Alabama",1041,"Extreme Cold Event",2015,3,214039.3,9259.4
"Alabama",1041,"Extreme Cold Event",2016,1,356.3,NA
"Alabama",1041,"Extreme Cold Event",2017,2,211040.4,11801.4
"Alabama",1041,"Extreme Cold Event",2018,7,217001,6308.1
